#Priority,Is Equal To,Low
Case ID,Case Type,Case Status,Case Description,Priority,CreateUserId,Investigator,Create Date,Updated By,Transaction Type,Transaction Amount,Transaction Direction,Transaction Currency,Swift Reference,Party Name,Party Number,Locked By,Ecm Last Status Date,Hits Count,Durations In Seconds,Durations In Minutes,Durations In Hours,Durations In Days
ACH-3730,"Sanction ACH ",Sanction New,msg_1_inach_2020726192240_inach_2020812132251.xml20200309103727,Low,achadmin,,10/12/2020 13:39:09,achadmin,Unknown,,,,,,,,,,,,,
ACH-3732,"Sanction ACH ",Sanction New,msg_1_inach_2020726192242_inach_2020812132253.xml20200309120202,Low,achadmin,,10/12/2020 13:51:37,achadmin,Unknown,,,,,,,,,,,,,
DELTA-3782,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:11:11,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3773,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:11:21,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3771,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:11:55,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3763,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:11:56,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3775,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:12:54,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3783,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:13:41,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3800,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:15:42,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3764,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:16:12,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3802,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:16:37,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3789,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:18:12,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3799,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:19:20,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3812,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:21:40,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3811,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:22:21,deltaadmin,Unknown,,,,,,,,,,,,,
DELTA-3818,Sanction DELTA,Sanction New,Initial,Low,deltaadmin,,10/12/2020 14:22:32,deltaadmin,Unknown,,,,,,,,,,,,,
